"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","hb_check_5","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseSevere_1r","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4r","diseaseSevere_5","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","vaccDanger_check_3","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","sex","age","race","religion","educ","income","parent","expecting","children","youngest_child","comments","workerId","assignmentId","hitId","study_time","payment"
"Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.","Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.","Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles, mumps, and whooping cough can cause permanent damage to a child who contracts them.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are not that big a deal.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are extremely dangerous for young children.","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.","Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.","Please indicate your gender","Please enter your age","What is your race or ethnicity?","Which of the following best describes your religious affiliation?","What is the highest level of education or degree that you have attained?","What is your annual household income?","Are you a parent?","Are you or your partner currently pregnant or expecting a child?","How many children do you have?","How old is your youngest child?","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","b953548792ca98d5","assignmentId","hitId","study_time","payment"
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID86_50""}","{""ImportId"":""QID86_51""}","{""ImportId"":""QID86_52""}","{""ImportId"":""QID86_53""}","{""ImportId"":""QID86_54""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID105""}","{""ImportId"":""QID77""}","{""ImportId"":""QID104""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID72_TEXT""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"2017-08-30 14:03:28","2017-08-30 14:06:35","Survey Preview","650b30154cd11d1d","100","186","True","2017-08-30 14:06:35","R_2YDh3jW0xT0bZbW","","","","","37.533096313477","-122.24710083008","preview","EN","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Female","99","","","Doctorate","Prefer not to say","Yes","Yes","4","4 years old","experimenter","650b30154cd11d1d","","","12","1.60"
"2017-08-31 09:02:24","2017-08-31 09:03:45","IP Address","ce34ab188f62a7ad","100","80","True","2017-08-31 09:03:45","R_Yc4RqzdwE0cs4Tf","","","","","34.085296630859","-117.96089935303","anonymous","EN","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Somewhat disagree","Disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Somewhat disagree","Agree","Female","22","Asian","Non-religious","Undergraduate Degree","$20,000 - $30,0000","No","No","","","","d54dafaba1c98a2d","3570Y55XZPJFZVHCGDOAJRSKN8IYGG","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
"2017-08-31 09:01:51","2017-08-31 09:03:45","IP Address","c6e76d16320cc01d","100","113","True","2017-08-31 09:03:45","R_3hzFWdwmpTUpO9k","","","","","38.829498291016","-102.45189666748","anonymous","EN","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Disagree","Somewhat disagree","Agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Agree","Somewhat disagree","Disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Disagree","Neither agree nor disagree","Agree","Disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Male","27","White","Non-religious","No Diploma","Less than $20,000","No","No","","","","4ca840d06f2a159a","3X87C8JFV6B9GYZHK31XVJ8LCAVQSP","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
"2017-08-31 09:01:58","2017-08-31 09:04:30","IP Address","758c592c3aaab6a3","100","152","True","2017-08-31 09:04:31","R_2eUXMRfslUfA676","","","","","36.072601318359","-79.791999816895","anonymous","EN","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Male","32","White","Christian","Graduate or Professional Degree","More than $100,000","Yes","Yes","1","2 years old","","195058bf6d7b9389","3Q5C1WP23M1KTSHPNSYA17QLQEW154","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
"2017-08-31 09:02:12","2017-08-31 09:04:49","IP Address","3da0c7d2e4d02c4f","100","157","True","2017-08-31 09:04:50","R_1eyHBYorRQtQHc5","","","","","34.624801635742","-112.42199707031","anonymous","EN","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Somewhat agree","Disagree","Agree","Disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Strongly agree","Somewhat agree","Agree","Strongly disagree","Somewhat agree","Somewhat agree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Agree","Strongly agree","Agree","Disagree","Somewhat agree","Neither agree nor disagree","Disagree","Somewhat agree","Disagree","Strongly agree","Agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Agree","Somewhat agree","Agree","Male","23","White","Christian","Some Undergraduate Education","$20,000 - $30,0000","No","No","","","","51132716db196d28","3ZSY5X72NXBUU7MOQ19OG48PB7UORR","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
"2017-08-31 09:02:23","2017-08-31 09:05:14","IP Address","10442cd5eea06550","100","170","True","2017-08-31 09:05:14","R_9ABPw9f8bjeDcxr","","","","","34.080093383789","-118.03369903564","anonymous","EN","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Agree","Agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Agree","Agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Strongly disagree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Male","24","Hispanic/Latino","Christian","High School or Equivalent","More than $100,000","Yes","No","2","1 year old","","a45d3aa59528eb73","3G2UL9A02DEUNIW5HRPOUNVYPV767M","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
"2017-08-31 09:02:27","2017-08-31 09:05:21","IP Address","838ef79592bf545a","100","174","True","2017-08-31 09:05:22","R_3Dos6uew0zTlHXm","","","","","32.736801147461","-117.12770080566","anonymous","EN","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Agree","Somewhat agree","Somewhat disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Male","33","White","Christian","Undergraduate Degree","$50,001 - $70,000","No","No","","","Thanks!","7a1b4c220baf2654","3Z4AIRP3C6DTVB1ZTYH5TQH5JD5X19","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
"2017-08-31 09:01:48","2017-08-31 09:05:35","IP Address","27298537dacc16f2","100","227","True","2017-08-31 09:05:36","R_1DZoEjHbXXETe1R","","","","","33.024703979492","-83.229598999023","anonymous","EN","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Male","22","Black or African American","Christian","Some Undergraduate Education","$30,001 - $50,000","No","No","","","","9f6540cc08b64660","3ZY8KE4ISJ3P8QGLEY6266SSBEPVQZ","3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y","12","1.60"
